                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2397,                 1.5757,                 1.1481,                0.76645,                0.71448,                0.79253,                0.60639,                0.97494,                 1.0151,                  1.018,              0.0033256,              0.0033256,              0.0033256
                      1,                 1.0825,                0.93918,                 1.0439,                0.83249,                0.78568,                0.86482,                0.67728,                0.87794,                0.84227,                0.97924,               0.006593,               0.006593,               0.006593
                      2,                 1.0922,                0.90115,                 1.0373,                0.79533,                0.75252,                0.82166,                0.60352,                  1.105,                 1.0022,                 1.0319,              0.0097944,              0.0097944,              0.0097944
                      3,                 1.0895,                0.88587,                 1.0394,                0.86134,                0.79237,                0.86765,                0.66952,                0.94367,                0.87294,                0.99554,               0.009703,               0.009703,               0.009703
                      4,                 1.0591,                0.84045,                 1.0276,                0.86198,                0.82422,                0.87972,                0.70041,                0.82401,                0.76593,                0.95554,               0.009703,               0.009703,               0.009703
                      5,                 1.0281,                0.79714,                 1.0184,                0.89061,                0.84122,                0.89986,                0.71539,                0.83635,                0.75489,                0.96393,               0.009604,               0.009604,               0.009604
                      6,                 1.0103,                0.77103,                 1.0128,                0.87195,                 0.8287,                0.89033,                0.70656,                0.87049,                0.77565,                 0.9716,               0.009505,               0.009505,               0.009505
                      7,                0.99354,                0.75451,                  1.005,                0.87979,                0.83537,                0.89549,                0.69867,                0.94117,                0.76736,                0.97728,               0.009406,               0.009406,               0.009406
                      8,                0.97459,                0.72917,                0.99747,                0.87695,                 0.8405,                0.89861,                0.71361,                0.87515,                0.73177,                0.96817,               0.009307,               0.009307,               0.009307
                      9,                0.96117,                0.71276,                0.99187,                0.90502,                0.85738,                0.92035,                0.73885,                0.83102,                0.65965,                0.94846,               0.009208,               0.009208,               0.009208
                     10,                0.95219,                0.70023,                0.98968,                0.90559,                0.85435,                 0.9178,                0.73925,                0.85463,                0.71089,                0.95552,               0.009109,               0.009109,               0.009109
                     11,                0.94298,                 0.6905,                0.98411,                0.91986,                0.86633,                0.92884,                0.75343,                0.83247,                0.64841,                0.94271,                0.00901,                0.00901,                0.00901
                     12,                0.92471,                0.67201,                0.97729,                0.93088,                0.86677,                0.93282,                0.75695,                0.82026,                 0.6439,                0.94442,               0.008911,               0.008911,               0.008911
                     13,                0.91417,                0.66066,                0.97431,                0.90121,                0.86323,                0.91745,                0.74675,                 0.8334,                0.68406,                0.94492,               0.008812,               0.008812,               0.008812
                     14,                 0.9069,                0.65194,                0.97302,                 0.8877,                0.83948,                0.90844,                0.71787,                 0.9653,                0.74862,                 0.9804,               0.008713,               0.008713,               0.008713
                     15,                0.89931,                0.64208,                0.96773,                0.92499,                0.89412,                0.94349,                0.77528,                  0.782,                0.65627,                0.92847,               0.008614,               0.008614,               0.008614
                     16,                0.89346,                0.63695,                0.96665,                 0.9212,                0.89042,                0.94307,                0.77767,                0.78447,                0.66881,                0.92632,               0.008515,               0.008515,               0.008515
                     17,                0.88278,                0.62605,                 0.9606,                  0.924,                0.89222,                0.94187,                 0.7794,                0.80423,                0.61686,                0.92966,               0.008416,               0.008416,               0.008416
                     18,                0.87869,                0.62356,                0.95885,                0.92129,                0.89353,                0.94234,                0.78065,                0.76547,                0.60539,                0.92019,               0.008317,               0.008317,               0.008317
                     19,                0.86923,                0.60958,                 0.9542,                 0.9311,                0.89187,                0.94267,                0.78248,                 0.7806,                0.59575,                0.92082,               0.008218,               0.008218,               0.008218
                     20,                0.86437,                0.61282,                0.95397,                0.92918,                0.89436,                0.94491,                0.78518,                0.77574,                0.61389,                0.91519,               0.008119,               0.008119,               0.008119
                     21,                 0.8614,                 0.6029,                0.95231,                0.91928,                0.89494,                0.94047,                0.77535,                0.81042,                0.63837,                0.92484,                0.00802,                0.00802,                0.00802
                     22,                0.85048,                0.59303,                0.94636,                0.93839,                0.89427,                0.94728,                0.78951,                0.76304,                0.61536,                0.91548,               0.007921,               0.007921,               0.007921
                     23,                 0.8467,                0.59377,                0.94753,                0.93857,                0.90198,                0.94864,                0.78595,                0.78729,                0.62781,                0.91818,               0.007822,               0.007822,               0.007822
